last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Robles, Victor,645302,WSH,FC,Cutter,1.4,1,77,10.2,19,0.294,0.353,0.329,25.6,21.1,16.7,0.25,0.348,0.305,30.8
Peraza, José,606299,BOS,SL,Slider,-3,-2,67,16.3,19,0.167,0.389,0.255,27.9,10.5,9.5,0.228,0.311,0.257,18.8
Crawford, J.P.,641487,SEA,CUKC,Curveball,-1.9,-2,92,9.8,19,0.056,0.167,0.168,32.4,36.8,25,0.108,0.235,0.176,9.1
Acuña Jr., Ronald,660670,ATL,FC,Cutter,4.9,4,82,9.4,19,0.357,1.071,0.613,25.8,26.3,19.2,0.337,1.047,0.595,66.7
Olivares, Edward,658668,KC,SIFT,Sinker,-1.5,-1,51,12.7,19,0.375,0.75,0.474,20,31.6,46.2,0.284,0.529,0.368,27.3
Cronenworth, Jake,630105,SD,FC,Cutter,-7,-4,51,6.8,18,0.125,0.125,0.178,20,22.2,26.7,0.237,0.281,0.281,25
Candelario, Jeimer,600869,DET,CUKC,Curveball,-2.5,-3,132,15.6,18,0.111,0.111,0.1,37.2,55.6,28.6,0.209,0.317,0.223,50
Cabrera, Miguel,408234,DET,CUKC,Curveball,1.9,2,83,9.1,18,0.222,0.556,0.322,18.5,22.2,19,0.212,0.414,0.261,42.9
Reyes, Victor,622682,DET,FC,Cutter,-4,-2,52,6.4,18,0.222,0.222,0.25,32.4,33.3,40,0.238,0.286,0.232,41.7
Arenado, Nolan,571448,COL,FC,Cutter,-2.2,-1,59,8.6,18,0.167,0.444,0.25,23.3,11.1,16.7,0.216,0.412,0.262,37.5
Garneau, Dustin,572863,HOU,FF,4-Seamer,2,1,63,35.8,18,0.25,0.563,0.378,37.5,33.3,37.5,0.175,0.485,0.316,40
Gurriel, Yuli,493329,HOU,FC,Cutter,-2,-1,57,7.2,18,0.188,0.313,0.267,7.7,0,0,0.231,0.476,0.34,43.8
Mathis, Jeff,425772,TEX,SL,Slider,-1.1,-1,65,24.3,18,0.167,0.222,0.169,52.9,50,40.9,0.21,0.264,0.208,33.3
Bregman, Alex,608324,HOU,CH,Changeup,1.1,1,81,11,18,0.375,0.625,0.456,29,22.2,17.4,0.376,0.445,0.396,50
Ohtani, Shohei,660271,LAA,CH,Changeup,-2.9,-3,111,15,18,0.118,0.118,0.139,32.7,11.1,7.1,0.231,0.27,0.25,13.3
Evans, Phillip,595943,PIT,FF,4-Seamer,2.2,1,54,34,18,0.357,0.357,0.406,27.6,11.1,10.5,0.264,0.348,0.36,41.7
Upton, Justin,457708,LAA,CUKC,Curveball,-1.3,-1,73,10.7,18,0.125,0.313,0.239,31,27.8,17.9,0.131,0.273,0.231,36.4
Rengifo, Luis,650859,LAA,CH,Changeup,-2.7,-2,79,18,18,0.118,0.118,0.139,51.4,44.4,28.6,0.092,0.102,0.123,0
Bemboom, Anthony,621532,LAA,SIFT,Sinker,0.1,0,46,20.6,18,0.267,0.333,0.315,4.8,16.7,37.5,0.211,0.281,0.268,30.8
Rendon, Anthony,543685,LAA,CUKC,Curveball,0.6,0,88,9.9,18,0.2,0.4,0.328,16.7,33.3,20,0.133,0.162,0.225,11.1
Pujols, Albert,405395,LAA,FC,Cutter,-1.2,-1,46,7.4,18,0.353,0.412,0.358,10.7,0,0,0.258,0.304,0.27,35.3
